Date,Sessions,New Users,Pages,Transactions,Revenue,Group
20170730,7923,4707,50073.36,618,20074.17,Control
20170805,7909,4794,50063.97,564,18384.56,Control
20170806,7897,5139,45723.63,659,19019.22,Control
20170721,7810,4760,50218.3,584,18071.17,Control
20170729,7786,4994,44925.22,660,19096.37,Control
20170723,7768,5016,46219.6,730,21164.49,Control
20170826,7751,4895,45730.9,482,14208.5,Control
20170818,7691,4560,50299.14,757,20835.09,Control
20170716,7684,4520,49946,598,18988.08,Control
20170714,7667,4653,49988.84,654,19350.28,Control
20170715,7595,4599,49443.45,568,18050.06,Control
20170610,7573,4747,46195.3,694,20751.3,Control
20170624,7544,4694,45942.96,670,19735.63,Control
20170708,7532,4492,49108.64,595,19303.22,Control
20170611,7498,4419,47087.44,613,19482.49,Control
20170709,7426,4384,49160.12,585,19659.36,Control
20170707,7406,4495,48953.66,628,18692.32,Control
20170825,7404,4492,46571.16,652,20562.76,Control
20170623,7396,4317,50514.68,618,18704.96,Control
20170815,7388,4693,37974.32,391,10491.89,Control
20170810,7375,4799,37981.25,574,15233.23,Control
20170708,7357,4746,44215.57,644,19072.98,Control
20170604,7350,4676,44320.5,645,19391.11,Control
20170827,7335,4465,47677.5,639,20718.97,Control
20170813,7318,4664,40395.36,616,18551.14,Control
20170826,7301,4490,44536.1,608,20378.35,Control
20170827,7300,4725,41318,692,19998.12,Control
20170819,7294,4388,47046.3,661,19133.35,Control
20170820,7293,4663,42226.47,706,20243.09,Control
20170809,7284,4423,39333.6,504,14228.46,Control
20170624,7242,4175,46638.48,547,16616.92,Control
20170803,7237,4674,41395.64,618,16247.53,Control
20170817,7214,4801,39172.02,622,19103.33,Control
20170630,7209,4180,47218.95,581,18245.25,Control
20170716,7208,4534,42238.88,638,19396.18,Control
20170625,7190,4053,47741.6,598,18522.19,Control
20170816,7182,4651,38639.16,610,16546.33,Control
20170608,7126,4375,42613.48,509,14569.26,Control
20170601,7075,4278,42379.25,535,14941.43,Control
20170802,7054,4475,38514.84,552,14879.95,Control
20170809,7022,4524,35741.98,510,14299.48,Control
20170720,7017,4449,40838.94,606,15896.92,Control
20170730,6998,4417,40588.4,610,18025.61,Control
20170709,6992,4455,41252.8,647,19240.9,Control
20170718,6987,4377,37380.45,529,14232.91,Control
20170702,6967,4016,44867.48,528,16989.81,Control
20170616,6964,4051,47773.04,659,17129.71,Control
20170727,6930,4410,38115,523,14918.17,Control
20170614,6926,4212,39963.02,541,14216.96,Control
20170726,6902,4431,38513.16,574,15452.27,Control
20170831,6901,4429,34159.95,199,5357.36,Control
20170811,6894,4095,48878.46,712,19704.07,Control
20170728,6886,4000,49166.04,687,19289.52,Control
20170719,6864,4421,37271.52,533,14854.03,Control
20170803,6853,4081,45092.74,499,14630.44,Control
20170620,6844,4297,36615.4,502,13540.87,Control
20170611,6837,4212,40680.15,646,19372.78,Control
20170615,6828,3964,40694.88,504,13899.69,Control
20170602,6818,4088,48680.52,693,18621.9,Control
20170725,6808,4255,36490.88,480,12745.43,Control
20170817,6771,4131,38730.12,483,13729.92,Control
20170701,6755,3922,43704.85,563,16852.63,Control
20170625,6719,4168,40448.38,654,19159.74,Control
20170812,6717,3974,44869.56,601,17894.46,Control
20170714,6712,3927,49534.56,730,20608.87,Control
20170617,6707,3857,45674.67,597,17219.25,Control
20170726,6700,3987,39798,456,12415.5,Control
20170615,6684,4110,38031.96,567,15697.5,Control
20170720,6674,3966,41178.58,500,13908.72,Control
20170729,6644,3905,46574.44,636,17970.98,Control
20170727,6634,3901,40799.1,496,14440.12,Control
20170724,6628,4095,35923.76,538,14866.47,Control
20170804,6583,3904,47858.41,622,17118.28,Control
20170719,6578,3964,38481.3,465,13142.78,Control
20170724,6574,3808,38457.9,434,12552.91,Control
20170623,6571,3704,48362.56,716,18481.6,Control
20170722,6566,3830,45174.08,614,17264.56,Control
20170713,6566,3874,40118.26,465,13153.87,Control
20170701,6564,4156,40631.16,634,18652.66,Control
20170808,6563,4224,33668.19,463,11550.24,Control
20170712,6547,4234,36728.67,572,16029.8,Control
20170613,6540,4171,35643,489,13164.69,Control
20170805,6526,3843,46138.82,623,18180.88,Control
20170724,6514,4361,31788.32,405,10454.14,Control
20170622,6476,4052,38337.92,615,16766.22,Control
20170624,6472,3636,45045.12,607,17195.45,Control
20170715,6471,3732,46914.75,648,19097.11,Control
20170629,6462,3969,39676.68,607,17295.84,Control
20170831,6459,3937,38689.41,570,16418.39,Control
20170808,6458,3959,35841.9,428,11693.54,Control
20170703,6444,3727,39759.48,457,13740.13,Control
20170609,6433,3741,45802.96,704,18570.34,Control
20170721,6427,3756,46467.21,681,18929.37,Control
20170608,6421,3990,38204.95,600,15713.34,Control
20170603,6414,3802,43615.2,641,17555.76,Control
20170801,6407,4096,34277.45,507,13125.13,Control
20170717,6382,3694,36951.78,425,11840.83,Control
20170610,6375,3651,43222.5,631,17338.63,Control
20170816,6375,3758,37038.75,450,12558.94,Control
20170713,6362,4013,35627.2,564,14551.79,Control
20170621,6358,3908,34841.84,524,13687.86,Control
20170823,6350,3888,35941,462,12529.07,Control
20170604,6345,3666,45049.5,646,18013.85,Control
20170628,6340,3902,36772,570,15261.48,Control
20170629,6337,3533,39669.62,497,13996.58,Control
20170731,6335,3933,34969.2,533,14099.55,Control
20170710,6324,4027,33706.92,527,14269.68,Control
20170807,6324,4024,32315.64,479,13251.51,Control
20170605,6319,3664,36966.15,478,13709.94,Control
20170626,6311,3411,36666.91,454,12063.41,Control
20170612,6306,3696,37331.52,482,13718.13,Control
20170627,6279,3913,34220.55,462,11795.5,Control
20170606,6261,3985,35186.82,502,13190.95,Control
20170622,6259,3606,39494.29,465,13450.71,Control
20170824,6258,3808,36609.3,496,14056.51,Control
20170717,6247,4001,33358.98,531,14788.67,Control
20170630,6245,3588,46275.45,737,19289.34,Control
20170614,6244,3682,38775.24,459,12684.11,Control
20170619,6243,3420,36146.97,430,11811.35,Control
20170703,6240,3969,35193.6,512,14425.65,Control
20170802,6238,3639,37989.42,463,13057.86,Control
20170601,6223,3935,35222.18,583,15882.52,Control
20170821,6223,4004,32546.29,524,14103.23,Control
20170711,6189,3951,33482.49,495,12919.77,Control
20170731,6176,3623,35635.52,440,12413.2,Control
20170707,6172,3637,45117.32,636,17057.72,Control
20170702,6169,3847,37754.28,595,17550.84,Control
20170830,6164,3969,33100.68,525,14305.18,Control
20170619,6160,3731,33140.8,520,14098.73,Control
20170723,6157,3592,41313.47,555,16443.43,Control
20170825,6149,3664,43165.98,731,20472.92,Control
20170822,6136,4016,31907.2,498,13345.26,Control
20170613,6128,3563,36339.04,438,12008.78,Control
20170814,6127,3538,34311.2,398,11435.4,Control
20170607,6084,3732,36929.88,447,12231.4,Control
20170725,6077,3519,36644.31,447,12396.05,Control
20170607,6065,3876,34813.1,530,13569.81,Control
20170814,6058,3847,31562.18,514,15146.69,Control
20170708,6047,3503,43719.81,585,17182,Control
20170820,6015,3484,39578.7,577,16726.74,Control
20170815,6000,3661,35220,440,12215.29,Control
20170606,5997,3584,34902.54,424,11196.45,Control
20170824,5988,3801,35389.08,596,16699.55,Control
20170830,5979,3656,32705.13,448,12140.57,Control
20170621,5961,3377,36242.88,436,11608.82,Control
20170821,5960,3537,32184,411,11662.66,Control
20170712,5956,3505,35080.84,412,11704.19,Control
20170807,5943,3444,34172.25,423,11663.22,Control
20170706,5936,3721,34310.08,551,15504.03,Control
20170828,5918,3491,32549,434,12158.11,Control
20170628,5915,3370,36791.3,464,13238.79,Control
20170605,5912,3670,32634.24,499,14493.8,Control
20170829,5908,3531,32434.92,440,12483.26,Control
20170813,5899,3467,39464.31,541,16260.22,Control
20170620,5898,3359,35034.12,368,10411.16,Control
20170826,5889,3441,41164.11,629,18615.14,Control
20170829,5883,3835,30238.62,450,11889.69,Control
20170822,5867,3639,32620.52,405,11082.89,Control
20170626,5866,3588,32497.64,499,13578.31,Control
20170706,5866,3402,35547.96,449,12562.03,Control
20170725,5859,3747,32165.91,416,10817.03,Control
20170612,5848,3680,32690.32,543,14403.49,Control
20170730,5839,3295,37836.72,533,15366.43,Control
20170627,5837,3283,35547.33,425,11768.74,Control
20170801,5822,3461,35572.42,414,11638.58,Control
20170718,5816,3394,36175.52,461,13785.95,Control
20170710,5807,3296,33622.53,403,10345.65,Control
20170704,5770,3662,32427.4,449,13788.88,Control
20170823,5758,3713,29308.22,467,11939.09,Control
20170716,5756,3334,41097.84,550,15989.86,Control
20170701,5749,3342,40702.92,553,15844.42,Control
20170625,5720,3142,40497.6,566,15955.47,Control
20170611,5672,3178,39533.84,570,15746.02,Control
20170806,5626,3267,39944.6,531,15924.89,Control
20170705,5624,3520,31044.48,456,12150.68,Control
20170828,5610,3595,29733,492,13462.98,Control
20170726,5582,3199,35948.08,485,11972.6,Control
20170809,5581,3382,33820.86,498,13046.61,Control
20170711,5575,3257,33784.5,418,11253.13,Control
20170704,5565,3196,37229.85,446,14888.46,Control
20170705,5413,3056,33181.69,413,11492.12,Control
20170709,5356,3070,38456.08,546,15146,Control
20170713,5311,3061,36592.79,485,11880.77,Control
20170817,5307,3058,35026.2,510,13042.52,Control
20170622,5298,2947,35496.6,496,12230.87,Control
20170601,5289,3059,33902.49,482,12144.04,Control
20170810,5256,3154,33533.28,461,12492.37,Control
20170621,5227,2981,35804.95,445,10958.17,Control
20170618,5215,2830,37965.2,507,18763.77,Control
20170702,5193,2944,38480.13,513,14093.33,Control
20170615,5187,2964,35115.99,531,13557.21,Control
20170827,5184,3020,36391.68,562,16536.43,Control
20170609,5095,2813,38874.85,699,19661.69,Control
20170608,5067,2983,32276.79,452,11023.67,Control
20170602,5040,2849,39110.4,694,19210.69,Control
20170727,5028,2843,34492.08,466,12433.28,Control
20170719,5012,2937,32828.6,441,11658.75,Control
20170720,4987,2874,34160.95,481,12197.86,Control
20170627,4972,2740,32168.84,422,10694.33,Control
20170616,4941,2645,36464.58,594,16005.6,Control
20170629,4938,2754,33578.4,456,10775.46,Control
20170803,4932,2860,32945.76,366,9122.21,Control
20170603,4931,2753,37623.53,598,17542.63,Control
20170620,4909,2800,35050.26,379,9639.45,Control
20170605,4897,2823,31438.74,418,10570.25,Control
20170816,4890,2836,30171.3,409,10202.29,Control
20170808,4880,2814,32305.6,453,11289.39,Control
20170628,4878,2651,32389.92,460,11577.4,Control
20170703,4844,2660,32939.2,409,11070.6,Control
20170626,4826,2607,29342.08,380,9291.71,Control
20170623,4817,2524,38198.81,674,18898.02,Control
20170606,4809,2836,32749.29,410,10409.03,Control
20170731,4805,2693,29983.2,399,10295.84,Control
20170804,4801,2711,37927.9,561,16218.81,Control
20170728,4791,2666,34111.92,608,16383.17,Control
20170802,4759,2768,31742.53,403,10542.59,Control
20170721,4747,2698,35222.74,560,16752.93,Control
20170604,4727,2636,35310.69,522,15907.76,Control
20170614,4704,2687,30670.08,387,9644.84,Control
20170617,4696,2634,34656.48,543,15986.21,Control
20170722,4689,2624,33010.56,512,15469.57,Control
20170612,4681,2636,28694.53,403,10107.63,Control
20170610,4671,2578,34471.98,561,17285.51,Control
20170811,4643,2593,34451.06,645,17587.98,Control
20170618,4643,2700,34404.63,413,17087.75,Control
20170619,4639,2590,27787.61,342,8863.61,Control
20170815,4633,2698,29234.23,425,11053.09,Control
20170714,4594,2577,33765.9,577,15869.82,Control
20170712,4593,2634,31462.05,432,11356.6,Control
20170613,4591,2633,28280.56,388,9245.21,Control
20170710,4583,2637,30797.76,413,10760.72,Control
20170824,4545,2614,29497.05,463,11730.05,Control
20170704,4544,2598,32807.68,421,12035.39,Control
20170711,4480,2502,31046.4,447,11178.05,Control
20170706,4460,2517,30105,374,9974,Control
20170801,4460,2581,29480.6,387,10088.05,Control
20170630,4457,2424,33828.63,562,15512.42,Control
20170831,4443,2585,29723.67,472,12658.16,Control
20170607,4433,2555,29701.1,372,9086.97,Control
20170729,4424,2444,31189.2,519,15225.8,Control
20170812,4417,2451,30388.96,486,14768.26,Control
20170805,4416,2454,31088.64,490,14749.49,Control
20170826,4405,2415,31451.7,524,15937.41,Control
20170818,4382,2495,32382.98,569,15577.74,Control
20170715,4381,2401,31236.53,483,15092.5,Control
20170823,4380,2517,27769.2,421,10711.66,Control
20170624,4345,2296,32239.9,522,15890.8,Control
20170708,4313,2416,32261.24,448,13672.77,Control
20170718,4312,2463,28847.28,389,8988.58,Control
20170618,4309,2411,27060.52,351,10730.97,Control
20170707,4292,2425,33091.32,516,14298,Control
20170825,4275,2378,31592.25,582,16201.64,Control
20170830,4256,2475,28004.48,475,11774.32,Control
20170717,4232,2434,27127.12,366,9366.08,Control
20170814,4231,2342,24920.59,344,8947.72,Control
20170822,4221,2386,27014.4,414,10951.92,Control
20170723,4212,2385,29273.4,429,13192.87,Control
20170807,4204,2345,25980.72,380,9752.68,Control
20170611,4202,2284,30968.74,501,14789.47,Control
20170730,4191,2243,29211.27,438,13867.21,Control
20170701,4171,2297,32241.83,503,15252.99,Control
20170821,4147,2380,24716.12,412,11085.94,Control
20170829,4132,2421,25246.52,398,9812.19,Control
20170705,4123,2342,26964.42,372,9427.46,Control
20170608,4099,2236,28406.07,427,10550.96,Control
20170819,4099,2270,29184.88,461,13983.82,Control
20170828,3994,2271,24802.74,393,9802.34,Control
20170716,3994,2196,29116.26,468,14140.59,Control
20170809,3953,2286,24666.72,374,9696.22,Control
20170806,3912,2133,28166.4,450,14334.75,Control
20170625,3909,1993,28027.53,441,12507.31,Control
20170818,3907,2277,25864.34,379,9601.98,Control
20170617,3900,2242,25818,347,9828.96,Control
20170616,3889,2210,27067.44,408,11167.73,Control
20170813,3882,2081,26009.4,403,12453.12,Control
20170728,3878,2254,26137.72,393,10807.58,Control
20170609,3863,2276,26307.03,424,13161.5,Control
20170819,3825,2292,24862.5,347,9724.06,Control
20170726,3818,2070,24397.02,398,10328.46,Control
20170827,3802,2049,26804.1,429,13177.39,Control
20170724,3798,2120,22332.24,292,7090.71,Control
20170811,3761,2253,27643.35,411,10913.9,Control
20170727,3737,1977,26495.33,408,10592.24,Control
20170820,3735,2015,24538.95,351,10437.46,Control
20170729,3720,2148,23622,323,9213.79,Control
20170810,3720,2080,25333.2,441,10562.63,Control
20170702,3713,1944,27661.85,418,12733.47,Control
20170713,3709,2010,24590.67,386,10206.11,Control
20170615,3697,2003,25398.39,409,10319.35,Control
20170720,3693,1998,24853.89,387,9705.09,Control
20170609,3689,2106,24015.39,390,9949.46,Control
20170709,3687,1996,25477.17,345,9946.37,Control
20170601,3675,2096,25725,422,10362.42,Control
20170602,3608,2167,24426.16,387,11625.69,Control
20170629,3598,1829,25473.84,390,9805.61,Control
20170714,3597,2055,24711.39,374,10031.54,Control
20170622,3591,1903,25783.38,435,10388.71,Control
20170623,3588,2035,24936.6,369,9634.28,Control
20170818,3583,2157,24364.4,364,10976.37,Control
20170719,3576,1922,24567.12,392,9934.17,Control
20170721,3567,2097,25076.01,387,10378.5,Control
20170803,3565,1948,26915.75,379,9698.41,Control
20170818,3546,2159,25105.68,399,11578.14,Control
20170603,3539,2122,22755.77,310,8600.64,Control
20170715,3539,2069,24525.27,314,8942.59,Control
20170722,3536,2051,24009.44,346,9720.58,Control
20170624,3523,1986,23885.94,348,9687.68,Control
20170804,3515,2047,25167.4,311,7719.67,Control
20170805,3513,2109,24485.61,337,9428.32,Control
20170617,3512,2056,24197.68,340,10623.18,Control
20170725,3508,1836,22381.04,344,8948.25,Control
20170812,3502,2072,22763,295,8496.56,Control
20170816,3494,1946,21278.46,314,7903.6,Control
20170602,3474,2058,24283.26,386,10614.26,Control
20170616,3467,2020,24164.99,351,11470.75,Control
20170607,3457,1941,24406.42,348,9471.68,Control
20170708,3441,2038,23157.93,312,8412.95,Control
20170826,3435,2020,22842.75,343,10096.14,Control
20170703,3431,1780,23914.07,335,8899.76,Control
20170612,3423,1763,22831.41,364,8750.42,Control
20170610,3414,2041,23283.48,315,8650.39,Control
20170728,3411,1975,23228.91,343,10524.01,Control
20170610,3406,2034,22207.12,339,10679.81,Control
20170614,3395,1773,24783.5,391,10030.76,Control
20170627,3392,1787,24184.96,369,9126.76,Control
20170707,3390,2059,23763.9,345,9063.83,Control
20170825,3385,2046,23254.95,372,9859.56,Control
20170628,3378,1801,24220.26,417,10133.54,Control
20170604,3336,2054,21383.76,329,9137.47,Control
20170623,3336,1962,23485.44,344,10723.69,Control
20170811,3330,2015,23776.2,389,12074.98,Control
20170619,3329,1679,21239.02,316,7849.89,Control
20170630,3321,1885,23413.05,367,9667.06,Control
20170603,3321,1999,22516.38,337,10377.25,Control
20170820,3317,1945,21361.48,303,8234.04,Control
20170611,3302,1943,22915.88,325,10100.41,Control
20170604,3288,1963,23114.64,325,10707.03,Control
20170723,3287,1880,22746.04,311,8713.87,Control
20170819,3287,1958,22252.99,310,10545.08,Control
20170605,3279,1791,20887.23,316,7543.69,Control
20170606,3271,1784,23191.39,383,9814.23,Control
20170620,3260,1652,23309,250,6695.4,Control
20170618,3260,1915,25134.6,390,13430.89,Control
20170714,3252,1930,23999.76,389,10539.27,Control
20170813,3250,1846,22327.5,321,9077.78,Control
20170802,3238,1728,22666,383,9387.86,Control
20170712,3232,1757,22591.68,342,8587.99,Control
20170804,3230,2023,23126.8,309,9354.11,Control
20170808,3225,1771,21639.75,347,9036.84,Control
20170626,3217,1668,20588.8,316,7595.74,Control
20170714,3216,1909,23090.88,331,10592.16,Control
20170715,3213,1977,22137.57,299,9476.01,Control
20170721,3206,1923,23692.34,396,11915.08,Control
20170630,3203,1812,23381.9,381,11161.05,Control
20170815,3181,1738,21376.32,354,9138.24,Control
20170730,3175,1853,22955.25,340,11456.69,Control
20170621,3171,1663,22418.97,334,8684.32,Control
20170706,3170,1715,22760.6,332,8945.46,Control
20170729,3167,1920,22105.66,318,10249.5,Control
20170818,3165,1921,25383.3,449,14149.73,Control
20170717,3162,1706,21217.02,344,8921.61,Control
20170728,3159,1927,24671.79,427,13241.59,Control
20170707,3156,1865,22849.44,351,10865.04,Control
20170716,3148,1795,22413.76,316,8750.86,Control
20170723,3147,1906,21556.95,304,10002.79,Control
20170728,3137,1832,23433.39,370,10359.78,Control
20170624,3128,1752,21489.36,312,9693.86,Control
20170613,3124,1635,20524.68,343,8962.36,Control
20170718,3121,1706,22221.52,340,8050.29,Control
20170825,3119,1952,21115.63,359,11169.83,Control
20170616,3116,1830,24117.84,406,11201.09,Control
20170722,3108,1878,21942.48,322,10781.89,Control
20170608,3105,1846,20182.5,313,8584.42,Control
20170622,3085,1761,20546.1,292,8920.29,Control
20170805,3080,1827,22268.4,310,8978.89,Control
20170812,3076,1800,22177.96,333,11011.18,Control
20170824,3054,1668,22080.42,382,9466.94,Control
20170806,3050,1719,20740,276,8083.15,Control
20170801,3044,1621,20668.76,315,8125.41,Control
20170730,3041,1709,19796.91,269,7383.91,Control
20170807,3040,1622,19030.4,323,8139.56,Control
20170721,3038,1834,24455.9,463,14493.4,Control
20170716,3038,1806,21812.84,309,10372.47,Control
20170811,3035,1763,21882.35,365,10012.9,Control
20170625,3032,1680,21193.68,324,8547.03,Control
20170805,3032,1837,20314.4,261,8900.86,Control
20170731,3020,1606,19569.6,317,8682.61,Control
20170704,3014,1608,21580.24,320,10011.34,Control
20170707,3008,1795,23432.32,343,9646.62,Control
20170714,3007,1840,24056,401,11845.19,Control
20170701,3005,1629,20013.3,260,7492.93,Control
20170710,3000,1648,20070,260,6517.46,Control
20170804,3000,1770,23820,307,8281.1,Control
20170817,2999,1646,20423.19,327,9370.1,Control
20170806,2991,1752,20607.99,259,8986.6,Control
20170601,2964,1809,20570.16,315,9364.09,Control
20170609,2960,1785,24390.4,442,13742.4,Control
20170708,2958,1769,21356.76,300,9287.97,Control
20170615,2954,1737,20087.2,316,9206.09,Control
20170820,2949,1683,20525.04,282,9477.32,Control
20170813,2946,1743,19708.74,253,8229.72,Control
20170625,2943,1657,21189.6,302,9831.9,Control
20170810,2934,1817,19892.52,292,8436.94,Control
20170804,2930,1780,23059.1,314,9268.48,Control
20170830,2925,1586,19948.5,345,8252.03,Control
20170823,2920,1580,17724.4,285,7110.8,Control
20170616,2911,1726,23026.01,423,12647.17,Control
20170720,2910,1623,19176.9,287,7353.03,Control
20170611,2909,1646,19286.67,269,7058.47,Control
20170709,2908,1673,20879.44,303,9952.01,Control
20170726,2908,1747,19192.8,294,8211.27,Control
20170825,2904,1704,22564.08,388,11283.79,Control
20170819,2901,1750,19552.74,283,8227.62,Control
20170827,2896,1721,19953.44,344,11834.66,Control
20170827,2889,1621,19645.2,303,8326.21,Control
20170609,2888,1732,22410.88,380,10355.02,Control
20170814,2888,1633,17818.96,274,6875.95,Control
20170818,2883,1702,20901.75,327,9182.55,Control
20170809,2871,1744,17627.94,248,6066.4,Control
20170612,2870,1606,17621.8,284,7810.75,Control
20170615,2862,1606,18746.1,276,7068.72,Control
20170721,2857,1679,21570.35,365,10338.38,Control
20170726,2856,1658,17107.44,249,5351.47,Control
20170812,2854,1756,20491.72,296,9161.77,Control
20170811,2854,1692,21604.78,357,10089.39,Control
20170729,2851,1682,20812.3,282,8193.24,Control
20170608,2849,1615,19943,303,7505.1,Control
20170702,2849,1642,20142.43,271,7374.56,Control
20170727,2848,1577,19053.12,284,7127.54,Control
20170826,2848,1709,19936,334,11076.85,Control
20170719,2846,1704,18242.86,255,7265.85,Control
20170810,2841,1631,19119.93,290,7223.63,Control
20170602,2836,1629,22120.8,330,9158.43,Control
20170623,2836,1663,22971.6,355,10143.23,Control
20170607,2832,1663,19625.76,325,8836.3,Control
20170702,2832,1664,20305.44,284,9802.37,Control
20170809,2832,1659,17133.6,256,7076.22,Control
20170709,2827,1637,20693.64,299,8368.56,Control
20170729,2824,1687,20558.72,356,11057.03,Control
20170804,2822,1704,25482.66,416,12967.13,Control
20170603,2817,1708,21493.71,303,9336.26,Control
20170705,2817,1485,19211.94,306,7545.51,Control
20170722,2813,1691,21435.06,340,10520.53,Control
20170711,2811,1527,18974.25,275,6659.81,Control
20170618,2802,1597,19838.16,251,8614.94,Control
20170623,2802,1664,23004.42,414,12109.02,Control
20170701,2801,1617,21315.61,328,10179.43,Control
20170617,2798,1593,20789.14,276,7777.86,Control
20170619,2793,1588,18294.15,274,8034.2,Control
20170727,2791,1634,18029.86,282,8267.92,Control
20170829,2786,1543,17941.84,305,8134.04,Control
20170831,2785,1496,18938,365,10120.67,Control
20170724,2779,1606,17285.38,247,7114.91,Control
20170630,2778,1575,22140.66,355,10696.59,Control
20170811,2778,1747,21057.24,373,11767.36,Control
20170720,2774,1639,18225.18,268,7402.91,Control
20170821,2772,1471,16105.32,246,6233.77,Control
20170617,2768,1621,21147.52,362,10947.38,Control
20170628,2765,1449,17861.9,252,5978.85,Control
20170816,2763,1585,16412.22,228,5525.8,Control
20170602,2759,1652,23865.35,422,12844.33,Control
20170629,2756,1487,18713.24,281,7118.45,Control
20170703,2753,1580,19463.71,274,8649.95,Control
20170808,2747,1596,18047.79,238,5717.46,Control
20170713,2746,1610,18260.9,253,6499.77,Control
20170618,2739,1494,19638.63,260,8307.4,Control
20170610,2739,1662,21829.83,409,12304.05,Control
20170817,2738,1596,18481.5,280,7460.12,Control
20170822,2733,1515,16398,258,6645.56,Control
20170713,2731,1572,18270.39,286,7657.92,Control
20170620,2726,1559,18127.9,190,5782.92,Control
20170707,2722,1663,21531.02,370,11338.54,Control
20170819,2720,1649,20563.2,356,11337.62,Control
20170817,2718,1629,18862.92,287,8403.8,Control
20170630,2717,1589,21274.11,369,11067.72,Control
20170803,2710,1543,18536.4,240,5781.58,Control
20170726,2703,1568,18975.06,308,8947.85,Control
20170802,2702,1563,17779.16,219,6085.47,Control
20170728,2700,1614,19602,291,8127.54,Control
20170621,2692,1523,18520.96,267,7638.06,Control
20170812,2690,1592,19341.1,268,8067.01,Control
20170723,2687,1637,20286.85,314,10470.04,Control
20170703,2674,1516,17514.7,233,6261.25,Control
20170802,2674,1573,17996.02,284,8042.94,Control
20170809,2672,1618,16806.88,252,6750.02,Control
20170819,2669,1563,19056.66,285,8593.97,Control
20170725,2667,1462,16615.41,242,6267.98,Control
20170708,2665,1575,21826.35,386,12342.83,Control
20170803,2663,1601,18321.44,233,6972.67,Control
20170715,2661,1644,21660.54,335,10654.17,Control
20170613,2661,1577,16897.35,256,7168.84,Control
20170719,2650,1542,17119,232,5870.49,Control
20170629,2649,1415,18410.55,307,8274.92,Control
20170622,2646,1489,17886.96,289,6988.9,Control
20170626,2645,1417,16293.2,230,5667.01,Control
20170724,2645,1506,16901.55,224,5257.95,Control
20170708,2643,1513,20033.94,299,9078.36,Control
20170717,2639,1558,17417.4,267,7944.3,Control
20170614,2638,1485,16355.6,229,6131.88,Control
20170825,2634,1620,21124.68,392,12443.16,Control
20170606,2624,1510,16846.08,269,7360.85,Control
20170605,2623,1489,17101.96,261,6868.94,Control
20170816,2623,1554,17679.02,246,7240.51,Control
20170722,2617,1534,17952.62,250,7218.23,Control
20170828,2616,1396,15774.48,262,6609.95,Control
20170627,2613,1481,17611.62,250,6212.91,Control
20170812,2613,1629,21060.78,360,12417.29,Control
20170725,2611,1571,16971.5,232,6669.61,Control
20170727,2610,1501,19366.2,298,8921.88,Control
20170805,2607,1530,19135.38,241,7021.01,Control
20170601,2606,1448,18294.12,263,6189.68,Control
20170727,2605,1505,18625.75,272,7196.53,Control
20170831,2593,1488,17165.66,299,7774.81,Control
20170626,2588,1447,16537.32,257,7175.96,Control
20170826,2587,1567,20773.61,375,12478.73,Control
20170607,2573,1422,16647.31,243,5735.38,Control
20170730,2571,1507,20105.22,336,10930.28,Control
